Unnamed: 0,Level 1,question1,question2,question3
0,1,person wearing the black shirt,person with the glasses,person near the chair
1,2,person wearing the white shirt,standing person,sitting person on the sofa
2,3,person wearing the black shirt,person pointing to the left,person near the shelf
3,4,person wearing the black shirt,standing person,person near the desk
4,5,person wearing the white shirt,sitting person,person near the chair
5,6,person wearing the short pants,person with the laptop,person near the sofa
6,7,person wearing the green hoodie,person wearing the black shirt,person near the shelf
7,8,person wearing the black shirt,person wearing the green shirt,person near the sofa
8,9,person wearing the black shirt,person raising hand,person near the sofa
9,10,person wearing the green shirt,person raising hand,person near the chair
10,11,person wearing watch,sitting person,person near the sofa
11,12,person wearing green shirt,person wearing black shirt,person near the chair
12,13,person wearing green shirt,person wearing black shirt,person near the chair
13,14,person wearing green shirt,person raising hand,person near the chair
14,15,person wearing black shirt,person raising hand,person near the sofa
15,16,person wearing green shirt,person wearing black shirt,person near the sofa
16,17,person wearing green shirt,person with the ball,person near the sofa
17,18,person wearing green shirt,person with the airplane toy,person near the sofa
18,19,person wearing green shirt,standing person,person near the desk
19,20,person wearing black shirt,person with the toys,person near the chair
20,21,person wearing green shirt,person raising hand,person near the sofa
21,22,person wearing black shirt,sitting person,person near the sofa
22,23,person wearing green shirt,thumbs up person,person near the sofa
23,24,person wearing black shirt,sitting person,person near the sofa
24,25,person wearing brown shirt,sitting person,person near the sofa
25,26,person wearing brown shirt,standing person,person near the sofa
26,27,person wearing brown shirt,person with the pringles,person near the chair
27,28,person wearing brown shirt,person with the pringles,person near the chair
28,29,person wearing brown shirt,sitting person,person near the sofa
29,30,person wearing brown shirt,sitting person,person near the sofa
30,31,person wearing brown shirt,person wearing black shirt,person near the sofa
31,32,person wearing black shirt,person with the water,person near the sofa
32,33,person wearing brown shirt,standing person,person near the sofa
33,34,person wearing black shirt,person raising hand,person near the chair
34,35,person wearing green shirt,person with the pringles,person near the sofa
35,36,person wearing green shirt,person with the watch,person near the chair
36,37,person wearing black shirt,sitting person,person near the sofa
37,38,person wearing black shirt,sitting person,person near the sofa
38,39,person wearing black shirt,sitting person,person near the sofa
39,40,person wearing green shirt,sitting person,person near the sofa
40,41,person wearing green shirt,sitting person,person near the sofa
41,42,person wearing green shirt,sitting person,person near the sofa
42,43,person wearing white shirt,sitting person,person near the sofa
43,44,person wearing white shirt,person raising hand,person near the sofa
44,45,person wearing blue shirt,person with the phone,person near the sofa
45,46,person wearing white shirt,sitting person,person near the sofa
46,image47,,,
47,image48,,,
48,image49,,,
49,image50,,,
