,Unnamed: 0,Level 1,absolute_position_1,absolute_position_2,relative_position_1,relative_position_2,yolo_answer1,yolo_answer2,yolo_answer3,yolo_answer4,som_answer1,som_answer2,som_answer3,som_answer4,absolute_position_1_ans1,absolute_position_1_ans_rate1,absolute_position_1_ans2,absolute_position_1_ans_rate2,absolute_position_1_ans3,absolute_position_1_ans_rate3,absolute_position_1_ans4,absolute_position_1_ans_rate4,absolute_position_2_ans1,absolute_position_2_ans_rate1,absolute_position_2_ans2,absolute_position_2_ans_rate2,absolute_position_2_ans3,absolute_position_2_ans_rate3,absolute_position_2_ans4,absolute_position_2_ans_rate4,relative_position_1_ans1,relative_position_1_ans_rate1,relative_position_1_ans2,relative_position_1_ans_rate2,relative_position_1_ans3,relative_position_1_ans_rate3,relative_position_1_ans4,relative_position_1_ans_rate4,relative_position_2_ans1,relative_position_2_ans_rate1,relative_position_2_ans2,relative_position_2_ans_rate2,relative_position_2_ans3,relative_position_2_ans_rate3,relative_position_2_ans4,relative_position_2_ans_rate4
0,0,image1,The left-most object,The right-most fruit on the desk,The object at the left of the peach on the desk,The object at the right of the peach on the desk,2,4,2,6,9,14,9,12,"2
",8,2,7,"2
",20,"2
",20,"3
",14,"3
",15,"4
",23,"7
",22,"4
",6,"4
",6,"6
",15,"6
",13,3,4,3,4,"1
",16,"1
",13
1,1,image2,The left-most object on the desk,The right-most fruit on the desk,The object at the left of the spam on the desk,The object at the right of the mustard on the desk,7,6,7,6,~,~,~,~,7,0.0,"7
",0.0,"7
",0.0,"7
",0.0,"6
",0.0,6,0.0,"6
",0.0,"6
",0.0,4.,0.0,"4
",0.0,"5
",0.0,"5
",0.0,6,0.0,"6
",0.0,"6
",0.0,"6
",0.0
2,2,image3,The left-most fruit on the desk,The right-most fruit on the desk,The object behind the apple on the desk,The object at the right of the pringles on the desk,5,4,3,1,~,~,9,10,"4
",,"4
",,"5
",,"5
",,"4
",,"4
",,"4
",,"4
",,"6
",,"6
",,"3
",,"6
",,"4
",,4,,"1
",,"1
",
3,3,image4,The left-most fruit on the desk.,The right-most object on the desk.,The object behind the lemon on the desk,The object at the left of the lemon on the desk,7,5,2,4,~,~,15,12,"4
",,"4
",,"7
",,"7
",,"5
",,"5
",,"5
",,"5
",,"5
",,"5
",,"2
",,"2
",,4,,"4
",,"4
",,"4
",
4,4,image5,The left-most object.,The right-most fruit.,The object behind the apple on the desk.,The object behind the strawberry on the desk.,4,11,3,1,~,~,9,~,"10
",,"10
",,"4
",,"4
",,"11
",,"11
",,"11
",,"11
",,"8
",,"7
",,"7
",,"3
",,"6
",,"9
",,"9
",,"9
",
5,5,image6,The left-most ball.,The right-most fruit.,The food behind the mustard.,The object at the right of the banana.,7,2,1,3,15,11,9,8,"7
",,"9
",,"7
",,"7
",,"3
",,3,,"2
",,"2
",,"1
",,"1
",,"2
",,"3
",,"3
",,"3
",,"3
",,"3
",
6,6,image7,The right-most ball.,The left-most ball.,The object behind the soccer ball.,The object at the right of the soft ball,3,4,2,2,12,16,10,10,"7
",,"7
",,"9
",,"9
",,1,,"1
",,"4
",,"4
",,"2
",,"2
",,"2
",,"2
",,"3
",,"3
",,"2
",,"7
",
7,7,image8,The left-most fruit.,The left-most ball.,The object behind the pringles.,The object at the left of the lemon.,9,3,1,4,12,12,9,15,"3
",,"3
",,"9
",,"9
",,"3
",,"3
",,"3
",,"3
",,"2
",,"2
",,"1
",,"1
",,"2
",,"2
",,"5
",,"5
",
8,8,image9,The right-most fruit.,The left-most fruit.,The ball behind the banana.,The object at the left of the pear.,2,7,3,7,~,8,5,8,"4
",,"4
",,"2
",,"2
",,"9
",,"7
",,"7
",,"7
",,"3
",,"3
",,"3
",,"3
",,"9
",,"5
",,"7
",,"8
",
9,9,image10,The right-most kitchen tool.,The left-most object.,The object behind the rubics cube.,The object at the right of the spam.,2,1,4,2,6,7,8,6,"2
",,3,,"2
",,"2
",,"1
",,"1
",,"1
",,"1
",,"7
",,"7
",,"4
",,"4
",,"6
",,"6
",,"2
",,"2
",
