,Unnamed: 0,Level 1,absolute_position_1,absolute_position_2,relative_position_1,relative_position_2,yolo_answer1,yolo_answer2,yolo_answer3,yolo_answer4,som_answer1,som_answer2,som_answer3,som_answer4,absolute_position_1_ans1,absolute_position_1_ans_rate1,absolute_position_1_ans2,absolute_position_1_ans_rate2,absolute_position_1_ans3,absolute_position_1_ans_rate3,absolute_position_1_ans4,absolute_position_1_ans_rate4,absolute_position_2_ans1,absolute_position_2_ans_rate1,absolute_position_2_ans2,absolute_position_2_ans_rate2,absolute_position_2_ans3,absolute_position_2_ans_rate3,absolute_position_2_ans4,absolute_position_2_ans_rate4,relative_position_1_ans1,relative_position_1_ans_rate1,relative_position_1_ans2,relative_position_1_ans_rate2,relative_position_1_ans3,relative_position_1_ans_rate3,relative_position_1_ans4,relative_position_1_ans_rate4,relative_position_2_ans1,relative_position_2_ans_rate1,relative_position_2_ans2,relative_position_2_ans_rate2,relative_position_2_ans3,relative_position_2_ans_rate3,relative_position_2_ans4,relative_position_2_ans_rate4
0,0,image1,The left-most object,The right-most fruit on the desk,The object at the left of the peach on the desk,The object at the right of the peach on the desk,2,4,2,6,9,14,9,12,"9
",10,,,,,,,"10
",15,,,,,,,"12
",11,,,,,,,"13
",10,,,,,,
1,1,image2,The left-most object on the desk,The right-most fruit on the desk,The object at the left of the spam on the desk,The object at the right of the mustard on the desk,7,6,7,6,~,~,~,~,"6
",0.0,,,,,,,"10
",0.0,,,,,,,"13
",0.0,,,,,,,"11
",0.0,,,,,,
2,2,image3,The left-most fruit on the desk,The right-most fruit on the desk,The object behind the apple on the desk,The object at the right of the pringles on the desk,5,4,3,1,~,~,9,10,"4
",,,,,,,,"5
",,,,,,,,"13
",,,,,,,,"10
",,,,,,,
3,3,image4,The left-most fruit on the desk.,The right-most object on the desk.,The object behind the lemon on the desk,The object at the left of the lemon on the desk,7,5,2,4,~,~,15,12,"12
",,,,,,,,"13
",,,,,,,,"15
",,,,,,,,"12
",,,,,,,
4,4,image5,The left-most object.,The right-most fruit.,The object behind the apple on the desk.,The object behind the strawberry on the desk.,4,11,3,1,~,~,9,~,"11
",,,,,,,,"6
",,,,,,,,"15
",,,,,,,,"14
",,,,,,,
5,5,image6,The left-most ball.,The right-most fruit.,The food behind the mustard.,The object at the right of the banana.,7,2,1,3,15,11,9,8,"14
",,,,,,,,"11
",,,,,,,,"9
",,,,,,,,"8
",,,,,,,
6,6,image7,The right-most ball.,The left-most ball.,The object behind the soccer ball.,The object at the right of the soft ball,3,4,2,2,12,16,10,10,"12
",,,,,,,,"16
",,,,,,,,"10
",,,,,,,,"14
",,,,,,,
7,7,image8,The left-most fruit.,The left-most ball.,The object behind the pringles.,The object at the left of the lemon.,9,3,1,4,12,12,9,15,"19
",,,,,,,,"12
",,,,,,,,"9
",,,,,,,,"18
",,,,,,,
8,8,image9,The right-most fruit.,The left-most fruit.,The ball behind the banana.,The object at the left of the pear.,2,7,3,7,~,8,5,8,"2
",,,,,,,,"9
",,,,,,,,"5
",,,,,,,,"8
",,,,,,,
9,9,image10,The right-most kitchen tool.,The left-most object.,The object behind the rubics cube.,The object at the right of the spam.,2,1,4,2,6,7,8,6,"6
",,,,,,,,"7
",,,,,,,,"5
",,,,,,,,"12
",,,,,,,
10,10,image11,The left-most object.,The left-most fruit.,The object behind the pringles.,The object at the left of the lemon.,5,7,4,7,13,17,9,17,"13
",,,,,,,,"17
",,,,,,,,"7
",,,,,,,,"14
",,,,,,,
11,11,image12,The right-most fruit.,The right-most ball.,The object behind the pear.,The object behind the pringles.,9,3,2,1,14,6,10,7,"14
",,,,,,,,"6
",,,,,,,,"10
",,,,,,,,"10
",,,,,,,
